balls_faced,total_runs,total_extras_seen,avg_runs_per_ball,boundary_rate,dot_ball_rate
24,28,4,1.1666666666666667,0.08333333333333333,0.20833333333333334
5,2,0,0.4,0.0,0.6
3,3,0,1.0,0.0,0.0
13,16,1,1.2307692307692308,0.15384615384615385,0.38461538461538464
18,18,0,1.0,0.05555555555555555,0.3333333333333333
36,21,2,0.5833333333333334,0.0,0.6111111111111112
19,14,2,0.7368421052631579,0.10526315789473684,0.6842105263157895
13,6,10,0.46153846153846156,0.07692307692307693,0.7692307692307693
4,4,0,1.0,0.0,0.25
13,14,2,1.0769230769230769,0.0,0.23076923076923078
30,40,0,1.3333333333333333,0.1,0.2
4,0,1,0.0,0.0,1.0
17,33,0,1.9411764705882353,0.23529411764705882,0.11764705882352941
